network,bin_infected,bin_source,count
0, 0, 0, 5567.0
0, 0, 1, 9185.0
0, 0, 2, 8383.0
0, 0, 3, 8560.0
0, 0, 4, 9060.0
0, 0, 5, 8930.0
0, 0, 6, 5934.0
0, 0, 7, 3845.0
0, 0, 8, 3222.0
0, 1, 0, 8355.0
0, 1, 1, 14129.0
0, 1, 2, 12603.0
0, 1, 3, 12776.0
0, 1, 4, 13908.0
0, 1, 5, 13550.0
0, 1, 6, 8879.0
0, 1, 7, 5643.0
0, 1, 8, 4827.0
0, 2, 0, 18997.0
0, 2, 1, 32037.0
0, 2, 2, 29003.0
0, 2, 3, 28833.0
0, 2, 4, 31421.0
0, 2, 5, 31061.0
0, 2, 6, 20426.0
0, 2, 7, 12716.0
0, 2, 8, 11152.0
0, 3, 0, 19245.0
0, 3, 1, 31876.0
0, 3, 2, 28908.0
0, 3, 3, 28830.0
0, 3, 4, 31442.0
0, 3, 5, 31007.0
0, 3, 6, 20077.0
0, 3, 7, 12809.0
0, 3, 8, 11143.0
0, 4, 0, 19801.0
0, 4, 1, 32902.0
0, 4, 2, 29818.0
0, 4, 3, 29806.0
0, 4, 4, 32610.0
0, 4, 5, 32075.0
0, 4, 6, 21086.0
0, 4, 7, 13239.0
0, 4, 8, 11632.0
0, 5, 0, 16926.0
0, 5, 1, 28853.0
0, 5, 2, 25705.0
0, 5, 3, 25679.0
0, 5, 4, 28191.0
0, 5, 5, 27693.0
0, 5, 6, 18057.0
0, 5, 7, 11367.0
0, 5, 8, 10025.0
0, 6, 0, 12815.0
0, 6, 1, 21731.0
0, 6, 2, 19435.0
0, 6, 3, 19320.0
0, 6, 4, 21021.0
0, 6, 5, 20700.0
0, 6, 6, 13696.0
0, 6, 7, 8669.0
0, 6, 8, 7550.0
0, 7, 0, 8945.0
0, 7, 1, 14669.0
0, 7, 2, 13188.0
0, 7, 3, 12994.0
0, 7, 4, 14311.0
0, 7, 5, 14163.0
0, 7, 6, 9281.0
0, 7, 7, 5938.0
0, 7, 8, 4995.0
0, 8, 0, 8086.0
0, 8, 1, 14082.0
0, 8, 2, 12393.0
0, 8, 3, 12215.0
0, 8, 4, 13420.0
0, 8, 5, 13512.0
0, 8, 6, 8705.0
0, 8, 7, 5729.0
0, 8, 8, 4836.0
1, 0, 0, 14511.0
1, 0, 1, 15297.0
1, 0, 2, 16555.0
1, 0, 3, 14091.0
1, 0, 4, 16279.0
1, 0, 5, 9925.0
1, 0, 6, 2037.0
1, 0, 7, 27.0
1, 0, 8, 21.0
1, 1, 0, 12996.0
1, 1, 1, 30678.0
1, 1, 2, 12620.0
1, 1, 3, 13613.0
1, 1, 4, 18199.0
1, 1, 5, 27752.0
1, 1, 6, 10611.0
1, 1, 7, 1423.0
1, 1, 8, 515.0
1, 2, 0, 26942.0
1, 2, 1, 23544.0
1, 2, 2, 35130.0
1, 2, 3, 34559.0
1, 2, 4, 15971.0
1, 2, 5, 15635.0
1, 2, 6, 16269.0
1, 2, 7, 5718.0
1, 2, 8, 2079.0
1, 3, 0, 22247.0
1, 3, 1, 26162.0
1, 3, 2, 33735.0
1, 3, 3, 29187.0
1, 3, 4, 25954.0
1, 3, 5, 7594.0
1, 3, 6, 4532.0
1, 3, 7, 4736.0
1, 3, 8, 1800.0
1, 4, 0, 23960.0
1, 4, 1, 35789.0
1, 4, 2, 16391.0
1, 4, 3, 25105.0
1, 4, 4, 25812.0
1, 4, 5, 34340.0
1, 4, 6, 8424.0
1, 4, 7, 2701.0
1, 4, 8, 2283.0
1, 5, 0, 13344.0
1, 5, 1, 42754.0
1, 5, 2, 12646.0
1, 5, 3, 6246.0
1, 5, 4, 30541.0
1, 5, 5, 26749.0
1, 5, 6, 19924.0
1, 5, 7, 4227.0
1, 5, 8, 1947.0
1, 6, 0, 3075.0
1, 6, 1, 17936.0
1, 6, 2, 14531.0
1, 6, 3, 3839.0
1, 6, 4, 8174.0
1, 6, 5, 21020.0
1, 6, 6, 12378.0
1, 6, 7, 11718.0
1, 6, 8, 3114.0
1, 7, 0, 9.0
1, 7, 1, 2322.0
1, 7, 2, 5382.0
1, 7, 3, 4192.0
1, 7, 4, 3293.0
1, 7, 5, 5335.0
1, 7, 6, 11655.0
1, 7, 7, 7809.0
1, 7, 8, 10650.0
1, 8, 0, 20.0
1, 8, 1, 762.0
1, 8, 2, 1890.0
1, 8, 3, 1589.0
1, 8, 4, 2486.0
1, 8, 5, 1844.0
1, 8, 6, 2872.0
1, 8, 7, 10930.0
1, 8, 8, 12640.0
2, 0, 0, 166926.0
2, 0, 1, 0.0
2, 0, 2, 682.0
2, 0, 3, 669.0
2, 0, 4, 616.0
2, 0, 5, 0.0
2, 0, 6, 0.0
2, 0, 7, 0.0
2, 0, 8, 0.0
2, 1, 0, 0.0
2, 1, 1, 291179.0
2, 1, 2, 874.0
2, 1, 3, 883.0
2, 1, 4, 919.0
2, 1, 5, 0.0
2, 1, 6, 0.0
2, 1, 7, 0.0
2, 1, 8, 0.0
2, 2, 0, 1320.0
2, 2, 1, 2052.0
2, 2, 2, 59234.0
2, 2, 3, 58762.0
2, 2, 4, 64329.0
2, 2, 5, 672.0
2, 2, 6, 511.0
2, 2, 7, 314.0
2, 2, 8, 251.0
2, 3, 0, 1290.0
2, 3, 1, 1931.0
2, 3, 2, 60474.0
2, 3, 3, 60199.0
2, 3, 4, 65724.0
2, 3, 5, 763.0
2, 3, 6, 466.0
2, 3, 7, 248.0
2, 3, 8, 248.0
2, 4, 0, 1396.0
2, 4, 1, 1817.0
2, 4, 2, 62582.0
2, 4, 3, 61701.0
2, 4, 4, 66027.0
2, 4, 5, 802.0
2, 4, 6, 598.0
2, 4, 7, 266.0
2, 4, 8, 274.0
2, 5, 0, 0.0
2, 5, 1, 0.0
2, 5, 2, 374.0
2, 5, 3, 416.0
2, 5, 4, 463.0
2, 5, 5, 86325.0
2, 5, 6, 54251.0
2, 5, 7, 34746.0
2, 5, 8, 32268.0
2, 6, 0, 0.0
2, 6, 1, 0.0
2, 6, 2, 306.0
2, 6, 3, 279.0
2, 6, 4, 368.0
2, 6, 5, 60912.0
2, 6, 6, 40905.0
2, 6, 7, 25963.0
2, 6, 8, 22612.0
2, 7, 0, 0.0
2, 7, 1, 0.0
2, 7, 2, 224.0
2, 7, 3, 171.0
2, 7, 4, 199.0
2, 7, 5, 38842.0
2, 7, 6, 26909.0
2, 7, 7, 16724.0
2, 7, 8, 14310.0
2, 8, 0, 0.0
2, 8, 1, 0.0
2, 8, 2, 187.0
2, 8, 3, 179.0
2, 8, 4, 186.0
2, 8, 5, 37924.0
2, 8, 6, 24123.0
2, 8, 7, 15102.0
2, 8, 8, 12989.0
