network,bin_infected,bin_source,count
0, 0, 0, 20538.0
0, 0, 1, 37950.0
0, 0, 2, 37863.0
0, 0, 3, 37863.0
0, 0, 4, 41853.0
0, 0, 5, 38731.0
0, 0, 6, 25292.0
0, 0, 7, 15301.0
0, 0, 8, 14835.0
0, 1, 0, 17755.0
0, 1, 1, 38861.0
0, 1, 2, 37087.0
0, 1, 3, 37515.0
0, 1, 4, 41170.0
0, 1, 5, 37293.0
0, 1, 6, 25604.0
0, 1, 7, 15942.0
0, 1, 8, 15264.0
0, 2, 0, 42226.0
0, 2, 1, 86946.0
0, 2, 2, 84716.0
0, 2, 3, 84644.0
0, 2, 4, 93085.0
0, 2, 5, 85605.0
0, 2, 6, 56953.0
0, 2, 7, 35609.0
0, 2, 8, 33986.0
0, 3, 0, 43860.0
0, 3, 1, 88393.0
0, 3, 2, 86549.0
0, 3, 3, 86493.0
0, 3, 4, 94924.0
0, 3, 5, 86982.0
0, 3, 6, 58490.0
0, 3, 7, 36068.0
0, 3, 8, 34718.0
0, 4, 0, 44668.0
0, 4, 1, 90114.0
0, 4, 2, 88618.0
0, 4, 3, 88879.0
0, 4, 4, 98109.0
0, 4, 5, 90184.0
0, 4, 6, 60334.0
0, 4, 7, 37079.0
0, 4, 8, 35715.0
0, 5, 0, 39975.0
0, 5, 1, 83599.0
0, 5, 2, 81319.0
0, 5, 3, 81255.0
0, 5, 4, 89792.0
0, 5, 5, 81449.0
0, 5, 6, 55270.0
0, 5, 7, 33870.0
0, 5, 8, 32967.0
0, 6, 0, 27997.0
0, 6, 1, 58945.0
0, 6, 2, 57385.0
0, 6, 3, 57445.0
0, 6, 4, 63465.0
0, 6, 5, 57596.0
0, 6, 6, 38862.0
0, 6, 7, 24154.0
0, 6, 8, 23081.0
0, 7, 0, 17774.0
0, 7, 1, 38461.0
0, 7, 2, 36993.0
0, 7, 3, 37284.0
0, 7, 4, 40584.0
0, 7, 5, 36769.0
0, 7, 6, 25172.0
0, 7, 7, 15486.0
0, 7, 8, 14882.0
0, 8, 0, 17398.0
0, 8, 1, 36795.0
